order_id,customer_name,product,quantity,unit_price,order_date,region,total_price,order_month,customer_tier
81,Bob,Tablet,3.0,750.0,2024-03-26,South,2250.0,3,High
82,Frank,Laptop,1.9589041095890412,250.0,2024-01-23,South,489.7260273972603,1,Low
83,Diana,Monitor,3.0,250.0,2024-03-06,West,750.0,3,Low
84,Frank,Laptop,1.0,500.0,2024-01-27,North,500.0,1,Low
85,Frank,Monitor,3.0,496.09375,2024-04-15,South,1488.28125,4,Medium
86,Diana,Tablet,2.0,500.0,2024-01-02,South,1000.0,1,Medium
87,Alice,Tablet,1.9589041095890412,500.0,2024-03-30,South,979.4520547945206,3,Medium
88,Frank,Tablet,1.0,500.0,2024-01-17,South,500.0,1,Low
89,Eve,Phone,1.9589041095890412,500.0,2024-04-13,West,979.4520547945206,4,Medium
90,Eve,Monitor,2.0,750.0,2024-02-02,South,1500.0,2,Medium
91,Bob,Phone,2.0,496.09375,2024-01-09,West,992.1875,1,Medium
92,Eve,Phone,2.0,250.0,2024-02-12,South,500.0,2,Low
93,Bob,Laptop,3.0,250.0,2024-04-27,South,750.0,4,Low
94,Alice,Phone,3.0,496.09375,2024-02-17,East,1488.28125,2,Medium
95,Diana,Laptop,1.9589041095890412,250.0,2024-02-08,South,489.7260273972603,2,Low
96,Diana,Laptop,1.9589041095890412,496.09375,2024-04-02,North,971.8000856164384,4,Medium
97,Diana,Phone,1.0,250.0,2024-02-11,South,250.0,2,Low
98,Eve,Monitor,1.0,500.0,2024-04-28,South,500.0,4,Low
99,Alice,Monitor,1.9589041095890412,250.0,2024-01-26,West,489.7260273972603,1,Low
100,Eve,Monitor,3.0,496.09375,2024-04-08,South,1488.28125,4,Medium
